,MB reward,MB punish,GP reward,GP punish
MB reward,0.76193546,0.002633893,0.126138135,-0.109211292
MB punish,0.001858706,0.914135722,-0.028388262,-0.079391714
GP reward,-0.01602773,-0.044935124,0.807389356,-0.045399827
GP punish,-0.095025006,-0.126738571,0.060233074,0.800005338
