,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,view_history,switching
0,404,24,,,,1,1,1.0,1.0,1.0,0.0,,0.0-26.0,,1.0,1081.765,1.0,0.758395892,1.0,0.666783589,0.0,0.39893396600000003,0.0,0.29433458,True,,5f1e0fd32c833f35ed5e93ac,,621708,24,,evan-feature22,,0
1,405,25,,,,1,1,1.0,0.0,1.0,0.0,,0.0-27.0,,1.0,463.44,1.0,0.749113302,0.0,0.6410334639999999,0.0,0.374554754,1.0,0.32429597,True,,5f1e0fd32c833f35ed5e93ac,,631957,25,,evan-feature22,,0
2,406,26,,,,1,1,1.0,0.0,1.0,0.0,,0.0-28.0,,1.0,893.06,1.0,0.7692293659999999,0.0,0.673489452,0.0,0.38936336299999996,1.0,0.40805484299999994,True,,5f1e0fd32c833f35ed5e93ac,,642634,26,,evan-feature22,,0
3,407,27,,,,1,1,1.0,0.0,1.0,0.0,,0.0-29.0,,1.0,688.055,1.0,0.794299593,0.0,0.7056914559999999,0.0,0.452628219,1.0,0.42653274,True,,5f1e0fd32c833f35ed5e93ac,,653105,27,,evan-feature22,,0
4,408,28,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-30.0,,-1.0,1895.25,1.0,0.8,1.0,0.7342765809999999,0.0,0.423370724,0.0,0.432069981,True,,5f1e0fd32c833f35ed5e93ac,,664789,28,,evan-feature22,,0
5,409,29,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-31.0,,-1.0,597.72,1.0,0.77615632,1.0,0.671157041,1.0,0.457156974,1.0,0.464632121,True,,5f1e0fd32c833f35ed5e93ac,,675172,29,,evan-feature22,,0
6,410,30,,,,2,2,0.0,1.0,1.0,0.0,,0.0-32.0,,0.0,738.755,1.0,0.760618163,0.0,0.6459397610000001,0.0,0.471572527,1.0,0.372324295,True,,5f1e0fd32c833f35ed5e93ac,,685694,30,,evan-feature22,,1
7,411,31,,,,1,1,1.0,1.0,1.0,0.0,,0.0-33.0,,1.0,1053.24,1.0,0.747676711,1.0,0.596965425,0.0,0.46128409299999995,1.0,0.348031934,True,,5f1e0fd32c833f35ed5e93ac,,696528,31,,evan-feature22,,1
8,412,32,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-34.0,,-1.0,485.66,1.0,0.7589599690000001,1.0,0.576201125,1.0,0.508614774,0.0,0.366452805,True,,5f1e0fd32c833f35ed5e93ac,,706804,32,,evan-feature22,,0
9,413,33,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-35.0,,-1.0,1148.375,0.0,0.8,0.0,0.561117359,0.0,0.552349312,1.0,0.38521346,True,,5f1e0fd32c833f35ed5e93ac,,717738,33,,evan-feature22,,1
10,414,34,,,,1,1,1.0,1.0,1.0,0.0,,0.0-36.0,,1.0,923.565,1.0,0.7713106559999999,1.0,0.61964539,0.0,0.596823475,1.0,0.42932164100000003,True,,5f1e0fd32c833f35ed5e93ac,,728441,34,,evan-feature22,,1
11,415,35,,,,2,2,1.0,1.0,0.0,-1.0,,0.0-37.0,,-1.0,1556.275,1.0,0.8,0.0,0.626226927,1.0,0.60332109,1.0,0.378687767,True,,5f1e0fd32c833f35ed5e93ac,,739783,35,,evan-feature22,,1
12,416,36,,,,1,1,1.0,0.0,1.0,0.0,,0.0-38.0,,1.0,412.855,1.0,0.8,0.0,0.625397042,0.0,0.6178893529999999,0.0,0.385361015,True,,5f1e0fd32c833f35ed5e93ac,,749979,36,,evan-feature22,,1
13,417,37,,,,1,1,0.0,1.0,1.0,0.0,,0.0-39.0,,0.0,957.3,0.0,0.8,1.0,0.634158766,0.0,0.593227747,0.0,0.347942274,True,,5f1e0fd32c833f35ed5e93ac,,760721,37,,evan-feature22,,0
14,418,38,,,,1,1,1.0,1.0,1.0,0.0,,0.0-40.0,,1.0,1276.185,1.0,0.780131997,1.0,0.63264508,1.0,0.554391083,1.0,0.40680791200000005,True,,5f1e0fd32c833f35ed5e93ac,,771775,38,,evan-feature22,,0
15,419,39,,,,1,1,1.0,1.0,1.0,0.0,,0.0-41.0,,1.0,2436.385,1.0,0.8,1.0,0.648202298,0.0,0.515718575,0.0,0.427451178,True,,5f1e0fd32c833f35ed5e93ac,,783997,39,,evan-feature22,,0
16,420,40,,,,1,1,0.0,0.0,1.0,0.0,,0.0-42.0,,0.0,778.03,0.0,0.78377078,0.0,0.67965253,0.0,0.537109201,0.0,0.43219395899999996,True,,5f1e0fd32c833f35ed5e93ac,,794554,40,,evan-feature22,,0
17,421,41,,,,1,1,1.0,1.0,1.0,0.0,,0.0-43.0,,1.0,596.85,1.0,0.8,1.0,0.6777571290000001,1.0,0.525795655,0.0,0.41902666299999997,True,,5f1e0fd32c833f35ed5e93ac,,804924,41,,evan-feature22,,0
18,422,42,,,,1,1,0.0,1.0,1.0,0.0,,0.0-44.0,,0.0,707.01,0.0,0.754949303,1.0,0.6501381039999999,1.0,0.528431942,0.0,0.404639057,True,,5f1e0fd32c833f35ed5e93ac,,815416,42,,evan-feature22,,0
19,423,43,,,,2,2,1.0,0.0,0.0,-1.0,,0.0-45.0,,0.0,2464.89,1.0,0.8,1.0,0.655926243,1.0,0.477718095,0.0,0.382683792,True,,5f1e0fd32c833f35ed5e93ac,,827672,43,,evan-feature22,,1
20,424,44,,,,1,1,1.0,0.0,1.0,0.0,,0.0-46.0,,1.0,1741.305,1.0,0.743293998,0.0,0.612656833,1.0,0.458332775,0.0,0.437340995,True,,5f1e0fd32c833f35ed5e93ac,,839201,44,,evan-feature22,,1
21,425,45,,,,1,1,1.0,0.0,1.0,0.0,,0.0-47.0,,1.0,716.475,1.0,0.7410552840000001,0.0,0.619286527,1.0,0.472797571,1.0,0.531525128,True,,5f1e0fd32c833f35ed5e93ac,,849706,45,,evan-feature22,,0
22,426,46,,,,1,1,1.0,1.0,1.0,0.0,,0.0-48.0,,1.0,1004.03,1.0,0.727897085,1.0,0.6228321520000001,0.0,0.39601617,0.0,0.5762136520000001,True,,5f1e0fd32c833f35ed5e93ac,,860496,46,,evan-feature22,,0
23,427,47,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-49.0,,0.0,1489.91,0.0,0.742532732,0.0,0.609740775,0.0,0.391742951,0.0,0.521061141,True,,5f1e0fd32c833f35ed5e93ac,,871776,47,,evan-feature22,,1
24,428,48,,,,2,2,1.0,1.0,0.0,-1.0,,0.0-50.0,,-1.0,835.275,0.0,0.6783303620000001,1.0,0.664637619,1.0,0.361203638,1.0,0.520299591,True,,5f1e0fd32c833f35ed5e93ac,,882400,48,,evan-feature22,,0
25,429,49,,,,2,2,1.0,1.0,0.0,-1.0,,0.0-51.0,,-1.0,842.705,1.0,0.6942499459999999,0.0,0.6667926479999999,1.0,0.323890969,1.0,0.572468191,True,,5f1e0fd32c833f35ed5e93ac,,893028,49,,evan-feature22,,0
26,430,50,,,,1,1,0.0,0.0,1.0,0.0,,0.0-52.0,,0.0,1467.855,0.0,0.7125347329999999,0.0,0.623869494,0.0,0.31056222,0.0,0.537072927,True,,5f1e0fd32c833f35ed5e93ac,,904278,50,,evan-feature22,,1
27,431,51,,,,2,2,1.0,0.0,1.0,0.0,,0.0-53.0,,1.0,1089.28,1.0,0.798095036,0.0,0.6311493570000001,1.0,0.25725538600000003,0.0,0.580461963,True,,5f1e0fd32c833f35ed5e93ac,,915158,51,,evan-feature22,,1
28,432,52,,,,2,2,0.0,1.0,1.0,0.0,,0.0-54.0,,0.0,612.305,1.0,0.777435118,1.0,0.598930454,0.0,0.251420798,1.0,0.588308898,True,,5f1e0fd32c833f35ed5e93ac,,925559,52,,evan-feature22,,0
29,433,53,,,,1,1,1.0,0.0,1.0,0.0,,0.0-55.0,,1.0,631.68,1.0,0.759582808,0.0,0.5325010020000001,0.0,0.244240244,0.0,0.57555856,True,,5f1e0fd32c833f35ed5e93ac,,935980,53,,evan-feature22,,1
30,434,54,,,,1,1,1.0,0.0,1.0,0.0,,0.0-56.0,,1.0,723.19,1.0,0.731730696,0.0,0.507277796,0.0,0.281049518,1.0,0.563427294,True,,5f1e0fd32c833f35ed5e93ac,,946484,54,,evan-feature22,,0
31,435,55,,,,1,1,0.0,0.0,1.0,0.0,,0.0-57.0,,0.0,623.895,0.0,0.7553872229999999,0.0,0.53317231,1.0,0.2,0.0,0.61479993,True,,5f1e0fd32c833f35ed5e93ac,,956877,55,,evan-feature22,,0
32,436,56,,,,2,2,0.0,1.0,1.0,0.0,,0.0-58.0,,0.0,959.38,0.0,0.69513931,1.0,0.482219891,0.0,0.2,1.0,0.630595346,True,,5f1e0fd32c833f35ed5e93ac,,967617,56,,evan-feature22,,1
33,437,57,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-59.0,,-1.0,2027.01,1.0,0.760055032,1.0,0.5226485989999999,0.0,0.21430818,1.0,0.5886190689999999,True,,5f1e0fd32c833f35ed5e93ac,,979424,57,,evan-feature22,,1
34,438,58,,,,1,1,1.0,0.0,1.0,0.0,,0.0-60.0,,1.0,1818.3,1.0,0.766163824,0.0,0.501297504,0.0,0.270138439,0.0,0.61055715,True,,5f1e0fd32c833f35ed5e93ac,,991031,58,,evan-feature22,,0
35,439,59,,,,1,1,1.0,0.0,1.0,0.0,,0.0-61.0,,1.0,1414.53,1.0,0.745170882,0.0,0.461483376,1.0,0.2,1.0,0.6759266429999999,True,,5f1e0fd32c833f35ed5e93ac,,1002232,59,,evan-feature22,,0
36,440,60,,,,1,1,1.0,1.0,1.0,0.0,,0.0-62.0,,1.0,1043.1,1.0,0.735704894,1.0,0.56650936,0.0,0.2,0.0,0.649759555,True,,5f1e0fd32c833f35ed5e93ac,,1013058,60,,evan-feature22,,0
37,441,61,,,,1,1,1.0,1.0,1.0,0.0,,0.0-63.0,,1.0,720.725,1.0,0.75135719,1.0,0.601996106,0.0,0.2,1.0,0.721739204,True,,5f1e0fd32c833f35ed5e93ac,,1023562,61,,evan-feature22,,0
38,442,62,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-64.0,,-1.0,2306.525,1.0,0.8,1.0,0.577883646,0.0,0.227956694,0.0,0.7008504040000001,True,,5f1e0fd32c833f35ed5e93ac,,1035655,62,,evan-feature22,,0
39,443,63,,,,1,1,1.0,1.0,1.0,0.0,,0.0-65.0,,1.0,1004.8,1.0,0.782146585,1.0,0.5356383929999999,1.0,0.240522467,1.0,0.660896764,True,,5f1e0fd32c833f35ed5e93ac,,1046447,63,,evan-feature22,,0
40,444,64,,,,1,1,1.0,0.0,1.0,0.0,,0.0-66.0,,1.0,745.43,1.0,0.695950925,0.0,0.51509141,0.0,0.33377865,0.0,0.6342836820000001,True,,5f1e0fd32c833f35ed5e93ac,,1056973,64,,evan-feature22,,0
41,445,65,,,,1,1,1.0,1.0,1.0,0.0,,0.0-67.0,,1.0,901.985,1.0,0.726659747,1.0,0.48346054200000005,0.0,0.402086283,1.0,0.581694384,True,,5f1e0fd32c833f35ed5e93ac,,1067664,65,,evan-feature22,,0
42,446,66,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-68.0,,0.0,1517.195,0.0,0.705913111,0.0,0.537600217,0.0,0.448943518,0.0,0.5952173510000001,True,,5f1e0fd32c833f35ed5e93ac,,1078968,66,,evan-feature22,,1
43,447,67,,,,2,2,1.0,1.0,0.0,-1.0,,0.0-69.0,,-1.0,613.825,1.0,0.7562677179999999,1.0,0.559166276,1.0,0.5101973670000001,1.0,0.561023256,True,,5f1e0fd32c833f35ed5e93ac,,1089368,67,,evan-feature22,,0
44,448,68,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-70.0,,0.0,1069.16,1.0,0.7109076440000001,1.0,0.613388908,0.0,0.45078569399999996,0.0,0.6265858,True,,5f1e0fd32c833f35ed5e93ac,,1100227,68,,evan-feature22,,0
45,449,69,,,,1,1,1.0,1.0,1.0,0.0,,0.0-71.0,,1.0,803.355,1.0,0.7517263059999999,1.0,0.575132706,0.0,0.43515056,1.0,0.63871568,True,,5f1e0fd32c833f35ed5e93ac,,1110817,69,,evan-feature22,,1
