,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,view_history,switching
23,2905,52,,,,1,1,0.0,1.0,0.0,-1.0,,0.0-49.0,,-1.0,837.705,0.0,0.742532732,1.0,0.609740775,0.0,0.391742951,1.0,0.521061141,True,,5c94ee77c70dc500019c7f0f,,780672,52,,evan-feature22,,0
24,2906,53,,,,2,2,1.0,0.0,0.0,-1.0,,0.0-50.0,,0.0,359.585,1.0,0.6783303620000001,1.0,0.664637619,1.0,0.361203638,0.0,0.520299591,True,,5c94ee77c70dc500019c7f0f,,790806,53,,evan-feature22,,1
25,2907,54,,,,2,2,1.0,0.0,0.0,-1.0,,0.0-51.0,,0.0,349.605,1.0,0.6942499459999999,1.0,0.6667926479999999,1.0,0.323890969,0.0,0.572468191,True,,5c94ee77c70dc500019c7f0f,,800918,54,,evan-feature22,,0
26,2908,55,,,,1,1,1.0,1.0,1.0,0.0,,0.0-52.0,,1.0,3537.62,1.0,0.7125347329999999,1.0,0.623869494,0.0,0.31056222,1.0,0.537072927,True,,5c94ee77c70dc500019c7f0f,,814240,55,,evan-feature22,,1
27,2909,56,,,,1,1,1.0,0.0,1.0,0.0,,0.0-53.0,,1.0,568.275,1.0,0.798095036,0.0,0.6311493570000001,0.0,0.25725538600000003,0.0,0.580461963,True,,5c94ee77c70dc500019c7f0f,,824589,56,,evan-feature22,,0
28,2910,57,,,,1,1,0.0,1.0,1.0,0.0,,0.0-54.0,,0.0,505.015,0.0,0.777435118,1.0,0.598930454,0.0,0.251420798,1.0,0.588308898,True,,5c94ee77c70dc500019c7f0f,,834874,57,,evan-feature22,,0
29,2911,58,,,,2,2,0.0,1.0,1.0,0.0,,0.0-55.0,,0.0,408.67,1.0,0.759582808,0.0,0.5325010020000001,0.0,0.244240244,1.0,0.57555856,True,,5c94ee77c70dc500019c7f0f,,845070,58,,evan-feature22,,1
30,2912,59,,,,1,1,1.0,0.0,1.0,0.0,,0.0-56.0,,1.0,429.445,1.0,0.731730696,0.0,0.507277796,1.0,0.281049518,0.0,0.563427294,True,,5c94ee77c70dc500019c7f0f,,855286,59,,evan-feature22,,1
31,2913,60,,,,2,2,0.0,1.0,1.0,0.0,,0.0-57.0,,0.0,924.345,1.0,0.7553872229999999,0.0,0.53317231,0.0,0.2,1.0,0.61479993,True,,5c94ee77c70dc500019c7f0f,,865998,60,,evan-feature22,,1
32,2914,61,,,,2,2,0.0,0.0,1.0,0.0,,0.0-58.0,,0.0,470.825,0.0,0.69513931,1.0,0.482219891,0.0,0.2,0.0,0.630595346,True,,5c94ee77c70dc500019c7f0f,,876259,61,,evan-feature22,,0
33,2915,62,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-59.0,,-1.0,446.505,1.0,0.760055032,0.0,0.5226485989999999,0.0,0.21430818,1.0,0.5886190689999999,True,,5c94ee77c70dc500019c7f0f,,886493,62,,evan-feature22,,0
34,2916,63,,,,1,1,0.0,0.0,1.0,0.0,,0.0-60.0,,0.0,316.575,0.0,0.766163824,0.0,0.501297504,0.0,0.270138439,1.0,0.61055715,True,,5c94ee77c70dc500019c7f0f,,896595,63,,evan-feature22,,1
35,2917,64,,,,2,2,1.0,1.0,1.0,0.0,,0.0-61.0,,1.0,156.24,1.0,0.745170882,0.0,0.461483376,1.0,0.2,1.0,0.6759266429999999,True,,5c94ee77c70dc500019c7f0f,,906541,64,,evan-feature22,,1
36,2918,65,,,,1,1,1.0,1.0,1.0,0.0,,0.0-62.0,,1.0,455.695,1.0,0.735704894,1.0,0.56650936,0.0,0.2,1.0,0.649759555,True,,5c94ee77c70dc500019c7f0f,,916782,65,,evan-feature22,,1
37,2919,66,,,,1,1,1.0,1.0,1.0,0.0,,0.0-63.0,,1.0,1215.095,1.0,0.75135719,1.0,0.601996106,0.0,0.2,1.0,0.721739204,True,,5c94ee77c70dc500019c7f0f,,927777,66,,evan-feature22,,0
38,2920,67,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-64.0,,-1.0,3716.665,1.0,0.8,0.0,0.577883646,0.0,0.227956694,1.0,0.7008504040000001,True,,5c94ee77c70dc500019c7f0f,,941271,67,,evan-feature22,,1
39,2921,68,,,,1,1,1.0,1.0,1.0,0.0,,0.0-65.0,,1.0,685.105,1.0,0.782146585,1.0,0.5356383929999999,1.0,0.240522467,1.0,0.660896764,True,,5c94ee77c70dc500019c7f0f,,951747,68,,evan-feature22,,1
