,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,view_history,switching
0,789,29,,,,2,2,0.0,0.0,1.0,0.0,,0.0-26.0,,0.0,1384.125,1.0,0.758395892,0.0,0.666783589,0.0,0.39893396600000003,0.0,0.29433458,True,,5c730ca1f674750001df8d09,,631790,29,,evan-feature22,,0
1,790,30,,,,2,2,1.0,1.0,1.0,0.0,,0.0-27.0,,1.0,1624.044999,1.0,0.749113302,1.0,0.6410334639999999,1.0,0.374554754,1.0,0.32429597,True,,5c730ca1f674750001df8d09,,643197,30,,evan-feature22,,0
2,791,31,,,,2,2,1.0,0.0,1.0,0.0,,0.0-28.0,,1.0,575.2600003,1.0,0.7692293659999999,1.0,0.673489452,1.0,0.38936336299999996,0.0,0.40805484299999994,True,,5c730ca1f674750001df8d09,,653547,31,,evan-feature22,,0
3,792,32,,,,1,1,1.0,0.0,1.0,0.0,,0.0-29.0,,1.0,762.2400001,1.0,0.794299593,0.0,0.7056914559999999,1.0,0.452628219,0.0,0.42653274,True,,5c730ca1f674750001df8d09,,664094,32,,evan-feature22,,1
4,793,33,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-30.0,,-1.0,3716.264999,1.0,0.8,1.0,0.7342765809999999,0.0,0.423370724,0.0,0.432069981,True,,5c730ca1f674750001df8d09,,677579,33,,evan-feature22,,0
5,794,34,,,,1,1,1.0,0.0,0.0,-1.0,,0.0-31.0,,0.0,1938.0450010000002,1.0,0.77615632,0.0,0.671157041,0.0,0.457156974,0.0,0.464632121,True,,5c730ca1f674750001df8d09,,689281,34,,evan-feature22,,0
6,795,35,,,,1,1,1.0,1.0,1.0,0.0,,0.0-32.0,,1.0,1579.595,1.0,0.760618163,1.0,0.6459397610000001,0.0,0.471572527,0.0,0.372324295,True,,5c730ca1f674750001df8d09,,700625,35,,evan-feature22,,0
7,796,36,,,,2,2,0.0,0.0,1.0,0.0,,0.0-33.0,,0.0,1542.119999,1.0,0.747676711,0.0,0.596965425,0.0,0.46128409299999995,0.0,0.348031934,True,,5c730ca1f674750001df8d09,,711947,36,,evan-feature22,,1
8,797,37,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-34.0,,-1.0,489.2199999,0.0,0.7589599690000001,1.0,0.576201125,0.0,0.508614774,1.0,0.366452805,True,,5c730ca1f674750001df8d09,,722212,37,,evan-feature22,,0
9,798,38,,,,2,2,1.0,0.0,0.0,-1.0,,0.0-35.0,,0.0,437.2100001,1.0,0.8,0.0,0.561117359,1.0,0.552349312,0.0,0.38521346,True,,5c730ca1f674750001df8d09,,732422,38,,evan-feature22,,0
10,799,39,,,,1,1,1.0,0.0,1.0,0.0,,0.0-36.0,,1.0,1070.715,1.0,0.7713106559999999,0.0,0.61964539,0.0,0.596823475,0.0,0.42932164100000003,True,,5c730ca1f674750001df8d09,,743269,39,,evan-feature22,,1
11,800,40,,,,1,1,1.0,0.0,0.0,-1.0,,0.0-37.0,,0.0,2928.155,1.0,0.8,0.0,0.626226927,1.0,0.60332109,0.0,0.378687767,True,,5c730ca1f674750001df8d09,,755972,40,,evan-feature22,,0
12,801,41,,,,1,1,1.0,0.0,1.0,0.0,,0.0-38.0,,1.0,1145.4799990000001,1.0,0.8,0.0,0.625397042,0.0,0.6178893529999999,0.0,0.385361015,True,,5c730ca1f674750001df8d09,,766895,41,,evan-feature22,,0
