,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,view_history,switching
0,24,24,,,,1,1,0.0,0.0,0.0,-1.0,,0.0-26.0,,0.0,1211.635,0.0,0.6,0.0,0.4,0.0,0.4,0.0,0.6,False,,59bcddc43a9ab600011197f5,,962296,24,,evan-feature22,,0
1,25,25,,,,1,1,1.0,0.0,0.0,-1.0,,0.0-27.0,,0.0,1037.085,1.0,0.625928423,0.0,0.395903568,0.0,0.416361855,0.0,0.636279196,False,,59bcddc43a9ab600011197f5,,973106,25,,evan-feature22,,0
2,26,26,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-28.0,,-1.0,969.955,1.0,0.632185889,0.0,0.37940999700000005,0.0,0.510461374,1.0,0.636053735,False,,59bcddc43a9ab600011197f5,,983855,26,,evan-feature22,,1
3,27,27,,,,2,2,1.0,0.0,0.0,-1.0,,0.0-29.0,,0.0,1289.5,0.0,0.650098956,0.0,0.437690015,1.0,0.513165207,0.0,0.594219782,False,,59bcddc43a9ab600011197f5,,994920,27,,evan-feature22,,0
4,28,28,,,,2,2,1.0,0.0,0.0,-1.0,,0.0-30.0,,0.0,1582.78,1.0,0.718427004,1.0,0.461759895,1.0,0.466591374,0.0,0.557006706,False,,59bcddc43a9ab600011197f5,,1006277,28,,evan-feature22,,0
5,29,29,,,,1,1,1.0,0.0,0.0,-1.0,,0.0-31.0,,0.0,1022.55,1.0,0.762929561,0.0,0.48747529100000003,0.0,0.43772942299999995,1.0,0.574463924,False,,59bcddc43a9ab600011197f5,,1017080,29,,evan-feature22,,1
6,30,30,,,,1,1,0.0,0.0,0.0,-1.0,,0.0-32.0,,0.0,609.615,0.0,0.763717037,0.0,0.435099549,1.0,0.465087572,0.0,0.60565513,False,,59bcddc43a9ab600011197f5,,1027462,30,,evan-feature22,,0
7,31,31,,,,1,1,1.0,0.0,1.0,0.0,,0.0-33.0,,1.0,1373.31,1.0,0.77229152,0.0,0.364439775,1.0,0.401053115,1.0,0.658123444,False,,59bcddc43a9ab600011197f5,,1038614,31,,evan-feature22,,0
8,32,32,,,,1,1,1.0,0.0,0.0,-1.0,,0.0-34.0,,0.0,1331.36,1.0,0.744772498,0.0,0.35348662700000005,1.0,0.357677552,1.0,0.6504213670000001,False,,59bcddc43a9ab600011197f5,,1049723,32,,evan-feature22,,0
9,33,33,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-35.0,,0.0,778.01,1.0,0.674079628,0.0,0.34184177200000004,0.0,0.36487888399999996,0.0,0.720326902,False,,59bcddc43a9ab600011197f5,,1060279,33,,evan-feature22,,1
