,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,version,view_history,switching
0,2005,25,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-27.0,,-1.0,564.935,1.0,0.6,1.0,0.6,0.0,0.4,1.0,0.4,False,,5eee368a74d9e62b6783734f,,547369,25,,evan-feature22,full_pf_a,,0
1,2006,26,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-28.0,,0.0,430.865,0.0,0.608053294,1.0,0.63424552,0.0,0.397152172,0.0,0.347069101,False,,5eee368a74d9e62b6783734f,,557577,26,,evan-feature22,full_pf_a,,0
2,2007,27,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-29.0,,-1.0,388.45,1.0,0.642237155,1.0,0.648566321,1.0,0.389407674,0.0,0.285525717,False,,5eee368a74d9e62b6783734f,,567740,27,,evan-feature22,full_pf_a,,1
3,2008,28,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-30.0,,0.0,323.205,1.0,0.661086576,0.0,0.630492543,0.0,0.399058924,0.0,0.25,False,,5eee368a74d9e62b6783734f,,577838,28,,evan-feature22,full_pf_a,,1
4,2009,29,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-31.0,,-1.0,367.615,1.0,0.631324137,1.0,0.6269842929999999,1.0,0.38734784299999997,1.0,0.25,False,,5eee368a74d9e62b6783734f,,587978,29,,evan-feature22,full_pf_a,,1
5,2010,30,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-32.0,,-1.0,122.74,1.0,0.6381991370000001,1.0,0.68987999,0.0,0.384107265,1.0,0.271332943,False,,5eee368a74d9e62b6783734f,,597881,30,,evan-feature22,full_pf_a,,0
6,2011,31,,,,1,1,0.0,1.0,0.0,-1.0,,0.0-33.0,,-1.0,217.255,0.0,0.66034901,1.0,0.742641349,1.0,0.360225629,0.0,0.25,False,,5eee368a74d9e62b6783734f,,607879,31,,evan-feature22,full_pf_a,,0
7,2012,32,,,,1,1,0.0,1.0,1.0,0.0,,0.0-34.0,,0.0,265.52,0.0,0.638612418,1.0,0.75,1.0,0.367273939,1.0,0.25,False,,5eee368a74d9e62b6783734f,,617920,32,,evan-feature22,full_pf_a,,0
8,2013,33,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-35.0,,-1.0,478.675,1.0,0.624340629,1.0,0.75,1.0,0.425829545,1.0,0.25,False,,5eee368a74d9e62b6783734f,,628179,33,,evan-feature22,full_pf_a,,0
9,2014,34,,,,1,1,0.0,1.0,0.0,-1.0,,0.0-36.0,,-1.0,334.435,0.0,0.621999804,1.0,0.75,0.0,0.368609357,0.0,0.25,False,,5eee368a74d9e62b6783734f,,638290,34,,evan-feature22,full_pf_a,,0
