,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,version,view_history,switching
0,30119,30,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-27.0,,-1.0,440.735,1.0,0.6,0.0,0.6,0.0,0.4,1.0,0.4,False,,5a94f57289de8200013ecbc8,,809367,30,,evan-feature22,full_pf_a,,0
1,30120,31,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-28.0,,-1.0,1943.055,1.0,0.608053294,1.0,0.63424552,1.0,0.397152172,0.0,0.347069101,False,,5a94f57289de8200013ecbc8,,821076,31,,evan-feature22,full_pf_a,,1
2,30121,32,,,,1,1,0.0,1.0,0.0,-1.0,,0.0-29.0,,-1.0,460.56,0.0,0.642237155,1.0,0.648566321,0.0,0.389407674,1.0,0.285525717,False,,5a94f57289de8200013ecbc8,,831302,32,,evan-feature22,full_pf_a,,0
3,30122,33,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-30.0,,0.0,582.565,1.0,0.661086576,0.0,0.630492543,0.0,0.399058924,0.0,0.25,False,,5a94f57289de8200013ecbc8,,841649,33,,evan-feature22,full_pf_a,,1
4,30123,34,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-31.0,,0.0,256.745,1.0,0.631324137,0.0,0.6269842929999999,0.0,0.38734784299999997,0.0,0.25,False,,5a94f57289de8200013ecbc8,,851677,34,,evan-feature22,full_pf_a,,0
5,30124,35,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-32.0,,-1.0,43.565,0.0,0.6381991370000001,1.0,0.68987999,0.0,0.384107265,1.0,0.271332943,False,,5a94f57289de8200013ecbc8,,861486,35,,evan-feature22,full_pf_a,,0
6,30125,36,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-33.0,,0.0,216.55,1.0,0.66034901,1.0,0.742641349,0.0,0.360225629,0.0,0.25,False,,5a94f57289de8200013ecbc8,,871467,36,,evan-feature22,full_pf_a,,0
7,30126,37,,,,2,2,0.0,1.0,1.0,0.0,,0.0-34.0,,0.0,4.285000001,1.0,0.638612418,1.0,0.75,0.0,0.367273939,1.0,0.25,False,,5a94f57289de8200013ecbc8,,881241,37,,evan-feature22,full_pf_a,,0
8,30127,38,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-35.0,,0.0,539.845,1.0,0.624340629,0.0,0.75,0.0,0.425829545,0.0,0.25,False,,5a94f57289de8200013ecbc8,,891546,38,,evan-feature22,full_pf_a,,0
9,30128,39,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-36.0,,0.0,717.55,1.0,0.621999804,1.0,0.75,0.0,0.368609357,0.0,0.25,False,,5a94f57289de8200013ecbc8,,902028,39,,evan-feature22,full_pf_a,,0
10,30129,40,,,,2,2,1.0,1.0,1.0,0.0,,0.0-37.0,,1.0,450.925,1.0,0.62666403,1.0,0.75,1.0,0.311151498,1.0,0.25,False,,5a94f57289de8200013ecbc8,,912249,40,,evan-feature22,full_pf_a,,0
11,30130,41,,,,2,2,1.0,1.0,1.0,0.0,,0.0-38.0,,1.0,659.93,1.0,0.6819650009999999,0.0,0.75,1.0,0.310763048,1.0,0.25,False,,5a94f57289de8200013ecbc8,,922681,41,,evan-feature22,full_pf_a,,0
12,30131,42,,,,2,2,1.0,0.0,0.0,-1.0,,0.0-39.0,,0.0,425.15,0.0,0.740626951,1.0,0.75,1.0,0.25,0.0,0.25,False,,5a94f57289de8200013ecbc8,,932872,42,,evan-feature22,full_pf_a,,0
