,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,version,view_history,switching
0,221,30,,,,1,1,1.0,1.0,0.0,1.0,,0.0-27.0,,1.0,1565.295,1.0,0.6,1.0,0.6,0.0,0.4,1.0,0.4,True,,5f0576c2b5b074000a8664cc,,557457,30,,evan-feature22,full_rf_b,,0
1,222,31,,,,1,1,0.0,0.0,0.0,1.0,,0.0-28.0,,0.0,699.415,0.0,0.608053294,0.0,0.63424552,1.0,0.397152172,0.0,0.347069101,True,,5f0576c2b5b074000a8664cc,,567928,31,,evan-feature22,full_rf_b,,0
2,223,32,,,,2,2,0.0,0.0,0.0,1.0,,0.0-29.0,,0.0,407.105,0.0,0.642237155,0.0,0.648566321,0.0,0.389407674,0.0,0.285525717,True,,5f0576c2b5b074000a8664cc,,578112,32,,evan-feature22,full_rf_b,,1
3,224,33,,,,1,1,1.0,0.0,0.0,1.0,,0.0-30.0,,0.0,585.255,1.0,0.661086576,0.0,0.630492543,0.0,0.399058924,1.0,0.25,True,,5f0576c2b5b074000a8664cc,,588481,33,,evan-feature22,full_rf_b,,1
4,225,34,,,,2,2,0.0,0.0,0.0,1.0,,0.0-31.0,,0.0,662.415,1.0,0.631324137,1.0,0.6269842929999999,0.0,0.38734784299999997,0.0,0.25,True,,5f0576c2b5b074000a8664cc,,598928,34,,evan-feature22,full_rf_b,,1
5,226,35,,,,2,2,1.0,0.0,0.0,1.0,,0.0-32.0,,0.0,83.92,0.0,0.6381991370000001,0.0,0.68987999,1.0,0.384107265,0.0,0.271332943,True,,5f0576c2b5b074000a8664cc,,608786,35,,evan-feature22,full_rf_b,,0
6,227,36,,,,1,1,1.0,0.0,0.0,1.0,,0.0-33.0,,0.0,196.38,1.0,0.66034901,0.0,0.742641349,0.0,0.360225629,0.0,0.25,True,,5f0576c2b5b074000a8664cc,,618766,36,,evan-feature22,full_rf_b,,1
7,228,37,,,,1,1,0.0,1.0,-1.0,0.0,,0.0-34.0,,0.0,151.18,0.0,0.638612418,1.0,0.75,0.0,0.367273939,1.0,0.25,True,,5f0576c2b5b074000a8664cc,,628702,37,,evan-feature22,full_rf_b,,0
8,229,38,,,,1,1,0.0,0.0,0.0,1.0,,0.0-35.0,,0.0,168.3,0.0,0.624340629,0.0,0.75,1.0,0.425829545,1.0,0.25,True,,5f0576c2b5b074000a8664cc,,638649,38,,evan-feature22,full_rf_b,,0
9,230,39,,,,1,1,0.0,1.0,0.0,1.0,,0.0-36.0,,1.0,466.245,0.0,0.621999804,1.0,0.75,1.0,0.368609357,0.0,0.25,True,,5f0576c2b5b074000a8664cc,,648888,39,,evan-feature22,full_rf_b,,0
10,231,40,,,,2,2,1.0,0.0,-1.0,0.0,,0.0-37.0,,-1.0,607.84,1.0,0.62666403,1.0,0.75,1.0,0.311151498,0.0,0.25,True,,5f0576c2b5b074000a8664cc,,659275,40,,evan-feature22,full_rf_b,,1
11,232,41,,,,2,2,1.0,0.0,-1.0,0.0,,0.0-38.0,,-1.0,625.485,1.0,0.6819650009999999,1.0,0.75,1.0,0.310763048,0.0,0.25,True,,5f0576c2b5b074000a8664cc,,669681,41,,evan-feature22,full_rf_b,,0
12,233,42,,,,2,2,0.0,0.0,0.0,1.0,,0.0-39.0,,0.0,567.74,1.0,0.740626951,1.0,0.75,0.0,0.25,0.0,0.25,True,,5f0576c2b5b074000a8664cc,,680023,42,,evan-feature22,full_rf_b,,0
13,234,43,,,,2,2,1.0,0.0,0.0,1.0,,0.0-40.0,,0.0,93.92499999,1.0,0.739599242,1.0,0.742034978,1.0,0.25397114600000004,0.0,0.25,True,,5f0576c2b5b074000a8664cc,,689886,43,,evan-feature22,full_rf_b,,0
14,235,44,,,,2,2,0.0,0.0,0.0,1.0,,0.0-41.0,,0.0,107.585,1.0,0.732341315,0.0,0.72735643,0.0,0.25,0.0,0.25,True,,5f0576c2b5b074000a8664cc,,699766,44,,evan-feature22,full_rf_b,,0
